codsbs,tipcreditosbs,codempsistemafinancierodeuda,codctacontablesbs,codmoneda,tipcondiciondiamorosidad,mtodeudasol,tipclasifriesgoempsistemafinan,codrubroicc,codmes
0044379368,99,00103,84140900000000,0001,0.0,38500.0,0,042,202201
0044379368,09,00103,14111306020000,0001,0.0,206420.83,0,004,202201
0044379368,99,00103,84240900000000,1001,0.0,239131.05,0,086,202201
0044379368,09,00103,29110101000000,0001,1.0,1350.23,0,000,202201
0121419947,99,00002,84240900000000,1001,3469.0,55800.36,8,086,202201
0121419947,10,00228,29110101000000,0001,0.0,2.2,0,000,202201
0121419947,10,00228,14180200000000,0001,0.0,41.63,0,000,202201
0121419947,10,00228,14110206020000,0001,0.0,3383.51,0,004,202201
0121419947,10,00228,84141000000000,0001,0.0,34578.0,0,000,202201
0121419947,10,00228,15150102000000,0001,0.0,18.44,0,000,202201
0020177268,10,00228,84141000000000,0001,0.0,17061.0,0,000,202201
0020177268,11,00002,14110302010000,0001,0.0,400.0,0,001,202201
0020177268,12,00123,84140900000000,0001,0.0,1.0,0,042,202201
0020177268,10,00228,14110206020000,0001,0.0,1551.0,0,004,202201
0020177268,11,00002,14110302020000,0001,0.0,76.75,0,001,202201
0020177268,12,00002,14110306130000,0001,0.0,1505.74,0,000,202201
0020177268,12,00055,14180300000000,0001,0.0,707.2,0,000,202201
0020177268,12,00123,14110306030000,0001,0.0,3873.06,0,004,202201
0020177268,10,00228,14180200000000,0001,0.0,10.51,0,000,202201
0020177268,11,00002,14180300000000,0001,0.0,9.8,0,000,202201
0020177268,11,00002,81192301000000,0001,0.0,3535.74,0,000,202201
0020177268,12,00055,14110306050000,0001,0.0,88686.13,0,004,202201
0020177268,11,00002,72150603000000,0001,0.0,1553.25,0,000,202201
0020177268,10,00228,15150102000000,0001,0.0,8.45,0,000,202201
0020177268,12,00002,14180300000000,0001,0.0,46.15,0,000,202201
0020177268,12,00123,14180300000000,0001,0.0,58.24,0,000,202201
0020687860,11,00002,14110302020000,0001,0.0,690.98,0,001,202201
0020687860,10,00228,14110206020000,0001,0.0,5270.81,0,004,202201
0020687860,10,00228,84141000000000,0001,0.0,72918.0,0,000,202201
0020687860,10,00228,29110101000000,0001,0.0,8.08,0,000,202201
0020687860,99,00103,84140900000000,0001,0.0,4000.0,0,042,202201
0020687860,11,00002,72150603000000,0001,0.0,9.02,0,000,202201
0020687860,11,00002,81192301000000,0001,0.0,700.0,0,000,202201
0020687860,10,00228,14180200000000,0001,0.0,152.16,0,000,202201
0020687860,12,00103,14110306030000,0001,0.0,1471.24,0,004,202201
0020687860,12,00103,14180300000000,0001,0.0,52.82,0,000,202201
0020687860,11,00002,14180300000000,0001,0.0,31.27,0,000,202201
0020687860,10,00228,15150102000000,0001,0.0,23.79,0,000,202201
0076505047,10,00123,14180200000000,0001,0.0,395.83,0,000,202201
0076505047,10,00123,84140900000000,0001,0.0,3.0,0,042,202201
0076505047,10,00123,14110206020000,0001,0.0,26427.35,0,004,202201
0076505047,10,00123,72150302010000,0001,0.0,2835.37,0,000,202201
0055858560,10,00123,14110206020000,0001,0.0,1425.48,0,004,202201
0055858560,10,00231,14110206020000,0001,0.0,1520.0,0,004,202201
0055858560,10,00123,72150302010000,0001,0.0,8702.81,0,000,202201
0055858560,10,00104,14180200000000,0001,0.0,224.66,1,000,202201
0055858560,10,00123,84140900000000,0001,0.0,2.0,0,042,202201
0055858560,10,00104,14110206020000,0001,0.0,2782.07,1,004,202201
0055858560,10,00104,29110101000000,0001,0.0,2.79,1,000,202201
0055858560,99,00231,15150101000000,0001,0.0,1.02,0,000,202201
0055858560,10,00104,14190201000000,0001,0.0,456.69,1,026,202201
0055858560,10,00104,14110206020000,0001,7.0,5250.07,1,004,202201
0055858560,10,00104,14110206010000,0001,12.0,1107.36,1,004,202201
0055858560,10,00104,72150302010000,0001,0.0,492.64,1,000,202201
0055858560,10,00123,14180200000000,0001,0.0,34.46,0,000,202201
0055858560,99,00231,15150102000000,0001,0.0,1.39,0,000,202201
